finca_id,es_convencional,certificacion,empresa_exportadora,lat,lon,altitud_m,pendiente_pct,area_ha,distancia_vecino_convencional_m,azimut_vecino_deg,tiene_barrera_viva,anios_certificacion,vecino_usa_glifosato,vecino_usa_clorpirifos,vecino_usa_cipermetrina,vecino_usa_carbendazim
F0001,0,Organico,Olam Peru,-6.236902,-77.780408,1464.4,24.33,1.38,752.0,120.7,1,11,1,0,0,1
F0002,0,Organico,Cenfrocafe,-6.218973,-77.931911,1286.2,14.81,1.39,237.1,97.6,0,7,0,1,1,0
F0003,0,Organico,Coop. Norandino,-6.214804,-77.820307,1555.2,7.78,1.5,119.5,60.8,1,8,0,0,0,1
F0004,0,Organico,Perhusa,-6.260923,-77.963818,1569.6,15.66,1.65,366.5,156.7,0,6,1,1,1,0
F0005,0,Organico,Olam Peru,-6.204859,-77.897473,1777.1,19.16,0.95,209.3,200.4,0,8,0,1,0,1
F0006,0,Organico,Olam Peru,-6.231793,-77.791051,1591.0,26.82,1.71,374.0,116.5,0,0,1,0,0,0
F0007,0,Organico,Perhusa,-6.196974,-77.904534,1995.6,17.56,1.97,134.8,56.1,0,1,1,0,1,0
F0008,0,Organico,Perhusa,-6.280189,-77.904138,1861.5,35.85,1.67,169.2,307.9,1,12,1,0,1,0
F0009,0,Organico,Coop. Norandino,-6.273624,-77.825537,1744.6,12.97,2.7,166.8,72.5,0,14,1,0,1,0
F0010,0,Organico,Cenfrocafe,-6.259311,-77.876018,1276.6,23.23,1.4,213.8,67.5,1,9,1,1,0,1
F0011,1,Convencional,Perhusa,-6.19193,-77.814649,1831.4,26.4,1.76,0.0,127.3,0,0,0,0,0,0
F0012,0,Organico,Perhusa,-6.228916,-77.898478,1576.9,55.3,0.76,137.0,323.9,1,4,1,0,0,0
F0013,0,Organico,Olam Peru,-6.149544,-77.808623,1265.2,11.01,2.15,455.5,61.1,0,1,1,1,0,1
F0014,0,Organico,Cenfrocafe,-6.252517,-77.799025,1587.4,6.98,2.99,306.3,3.7,0,0,1,0,1,0
F0015,1,Convencional,Perhusa,-6.251913,-77.839401,1696.0,8.38,0.91,0.0,38.4,0,0,1,1,0,0
