finca_id,fecha,viento_medio_kmh,viento_max_kmh,direccion_media_deg,precipitacion_acum_mm,temperatura_media_c,humedad_media_pct,dias_sin_lluvia
F0001,2025-01-01,4.52,4.52,63.4,0.0,27.28,73.6,1
F0001,2025-01-02,6.1,7.68,353.943,0.0,27.08,74.3,2
F0001,2025-01-03,8.303,12.71,40.249,0.0,27.567,75.767,3
F0001,2025-01-04,8.56,12.71,12.246,0.0,27.162,74.575,4
F0001,2025-01-05,9.586,13.69,6.881,0.0,26.688,74.12,5
F0001,2025-01-06,10.353,14.19,0.213,0.0,26.7,72.917,6
F0001,2025-01-07,9.599,14.19,6.391,0.0,26.757,72.057,7
F0001,2025-01-08,10.04,14.19,353.195,0.0,26.872,71.3,8
F0001,2025-01-09,9.326,14.19,355.705,0.0,26.939,71.011,9
F0001,2025-01-10,9.104,14.19,356.353,0.36,26.914,71.32,10
F0001,2025-01-11,10.76,27.32,348.255,0.36,26.717,71.782,11
F0001,2025-01-12,10.588,27.32,348.141,27.3,26.7,72.433,0
F0001,2025-01-13,10.608,27.32,351.947,27.3,26.755,72.031,1
F0001,2025-01-14,10.434,27.32,355.624,27.3,26.721,72.557,2
F0001,2025-01-15,10.403,27.32,354.879,27.3,26.662,72.84,3
F0001,2025-01-16,11.211,27.32,356.263,27.3,26.627,72.073,4
F0001,2025-01-17,11.185,27.32,0.434,28.64,26.659,71.753,0
F0001,2025-01-18,11.154,27.32,349.822,28.64,26.487,70.72,1
F0001,2025-01-19,11.259,27.32,356.015,28.64,26.588,70.82,2
F0001,2025-01-20,10.954,27.32,354.298,28.64,26.978,71.113,3
F0001,2025-01-21,10.249,27.32,357.379,28.64,26.951,71.493,4
F0001,2025-01-22,10.393,27.32,358.141,28.64,27.071,71.387,5
F0001,2025-01-23,10.477,27.32,359.866,28.64,26.873,72.127,6
F0001,2025-01-24,10.912,27.32,2.831,41.69,26.742,72.447,0
F0001,2025-01-25,11.413,27.32,4.706,41.33,26.708,71.933,1
F0001,2025-01-26,10.453,16.64,13.206,41.33,27.044,71.813,2
F0001,2025-01-27,10.241,16.64,16.077,14.39,26.941,71.32,3
F0001,2025-01-28,10.747,18.46,23.031,14.39,26.797,71.2,4
F0001,2025-01-29,10.645,18.46,18.385,17.03,26.857,69.953,0
F0001,2025-01-30,10.505,18.46,22.502,17.03,27.035,69.213,1
F0001,2025-01-31,9.755,18.46,20.384,17.03,26.947,69.433,2
F0001,2025-02-01,10.205,18.46,20.9,15.69,26.834,69.773,3
F0001,2025-02-02,10.142,18.46,22.296,15.69,26.697,69.813,4
F0001,2025-02-03,9.886,18.46,21.871,15.69,26.703,69.687,5
F0001,2025-02-04,10.015,18.46,28.959,15.69,26.336,69.82,6
F0001,2025-02-05,10.649,18.46,20.823,15.69,26.671,69.053,7
F0001,2025-02-06,10.802,18.46,18.51,16.4,26.425,69.773,8
F0001,2025-02-07,10.201,18.46,26.875,16.4,26.54,68.9,9
F0001,2025-02-08,10.025,18.46,25.395,3.35,26.523,68.387,10
F0001,2025-02-09,10.377,19.89,20.552,3.35,26.557,68.767,11
F0001,2025-02-10,10.587,19.89,29.224,3.35,26.407,68.967,12
F0001,2025-02-11,10.667,19.89,31.915,3.35,26.587,68.713,13
F0001,2025-02-12,9.931,19.89,23.596,3.35,26.627,68.613,14
F0001,2025-02-13,10.375,19.89,25.481,28.34,26.58,69.707,0
F0001,2025-02-14,10.46,19.89,19.261,28.34,26.479,69.873,1
F0001,2025-02-15,11.519,21.27,8.544,28.56,26.65,70.987,2
F0001,2025-02-16,10.945,21.27,6.68,28.71,26.79,70.9,3
F0001,2025-02-17,11.173,21.27,6.267,28.71,26.934,71.113,4
F0001,2025-02-18,11.183,21.27,6.808,28.71,27.076,70.767,5
F0001,2025-02-19,11.366,21.27,359.275,28.71,27.322,70.487,6
F0001,2025-02-20,11.636,21.27,2.808,28.71,27.189,71.687,7
F0001,2025-02-21,11.652,21.27,358.689,28.0,27.476,71.727,8
F0001,2025-02-22,11.715,21.27,359.189,46.93,27.629,72.367,0
F0001,2025-02-23,11.628,21.27,353.058,52.68,28.017,72.94,0
F0001,2025-02-24,10.596,21.27,350.283,52.68,28.072,73.18,1
F0001,2025-02-25,11.049,22.87,341.325,52.68,27.775,72.673,2
F0001,2025-02-26,11.297,22.87,335.221,77.63,27.543,73.04,0
F0001,2025-02-27,10.987,22.87,333.252,77.63,27.477,74.287,1
F0001,2025-02-28,10.454,22.87,331.332,50.0,27.519,73.913,2
F0001,2025-03-01,10.137,22.87,337.617,58.21,27.427,75.287,0
F0001,2025-03-02,9.441,22.87,351.974,57.99,27.143,75.047,1
F0001,2025-03-03,9.738,22.87,346.963,57.84,27.096,74.9,2
F0001,2025-03-04,9.39,22.87,353.294,73.0,27.009,75.24,0
F0001,2025-03-05,9.569,22.87,344.687,73.0,26.654,75.36,1
F0001,2025-03-06,8.901,22.87,345.952,73.0,26.377,75.18,2
F0001,2025-03-07,8.6,22.87,341.174,73.0,26.131,74.26,3
F0001,2025-03-08,8.512,22.87,337.529,93.44,25.872,74.493,0
F0001,2025-03-09,8.897,22.87,339.62,100.47,25.465,74.707,0
F0001,2025-03-10,9.146,22.87,345.357,103.51,25.181,74.833,0
F0001,2025-03-11,9.832,22.87,355.062,106.3,25.14,74.967,0
F0001,2025-03-12,9.337,15.44,7.569,106.49,25.325,75.687,1
F0001,2025-03-13,9.464,15.44,20.95,84.78,25.267,75.633,0
F0001,2025-03-14,9.757,15.44,21.83,84.78,25.41,74.853,1
F0001,2025-03-15,10.097,15.44,13.68,84.78,25.278,75.5,2
F0001,2025-03-16,10.538,15.44,19.556,76.57,25.183,74.633,3
F0001,2025-03-17,10.642,15.44,19.011,76.57,25.404,74.313,4
F0001,2025-03-18,10.825,15.44,22.712,102.32,25.835,75.607,0
F0001,2025-03-19,10.487,15.44,21.217,87.16,25.939,75.493,1
F0001,2025-03-20,11.284,21.86,36.342,87.16,25.901,75.74,2
F0001,2025-03-21,12.685,24.79,29.749,93.5,26.166,76.32,0
F0001,2025-03-22,12.211,24.79,33.921,93.5,26.315,77.24,1
F0001,2025-03-23,12.381,24.79,32.64,73.06,26.439,77.2,2
F0001,2025-03-24,12.211,24.79,28.346,47.1,26.563,76.933,3
F0001,2025-03-25,11.931,24.79,30.235,56.4,26.298,76.733,0
F0001,2025-03-26,11.351,24.79,26.135,60.87,26.219,76.987,0
F0001,2025-03-27,10.625,24.79,21.296,76.72,26.025,76.567,0
F0001,2025-03-28,10.032,24.79,15.109,73.48,26.046,76.767,1
F0001,2025-03-29,10.219,24.79,6.891,73.48,25.838,77.473,2
F0001,2025-03-30,9.939,24.79,13.233,73.48,25.826,77.373,3
F0001,2025-03-31,10.083,24.79,5.422,73.48,25.876,77.687,4
F0001,2025-04-01,9.432,24.79,2.296,73.48,25.782,78.473,5
F0001,2025-04-02,9.005,24.79,3.867,48.25,25.384,77.073,6
F0001,2025-04-03,8.975,24.79,6.672,48.28,25.295,77.533,7
F0001,2025-04-04,8.0,24.79,355.291,71.84,25.444,78.733,0
F0001,2025-04-05,7.118,13.16,3.257,73.06,25.201,78.667,0
F0001,2025-04-06,7.399,13.16,359.625,73.06,25.093,77.973,1
F0001,2025-04-07,7.431,13.16,20.758,75.4,24.895,77.907,0
F0001,2025-04-08,6.989,13.16,33.196,75.4,25.069,77.693,1
F0001,2025-04-09,7.162,13.16,26.012,61.0,25.344,79.02,0
F0001,2025-04-10,6.94,13.16,28.185,61.06,25.27,78.673,0
F0001,2025-04-11,7.192,13.16,19.733,45.02,25.245,79.413,1
F0001,2025-04-12,7.566,13.16,22.819,45.02,25.551,79.68,2
F0001,2025-04-13,7.386,13.16,37.713,45.02,25.804,79.9,3
F0001,2025-04-14,7.361,13.16,36.678,52.94,25.592,80.453,0
F0001,2025-04-15,6.741,11.56,46.98,52.94,25.529,80.607,1
F0001,2025-04-16,7.003,11.56,40.331,53.54,25.471,80.287,2
F0001,2025-04-17,6.899,11.56,38.488,67.07,25.183,81.167,0
F0001,2025-04-18,7.377,11.56,41.606,74.37,25.255,80.993,0
F0001,2025-04-19,7.152,11.56,45.815,76.26,25.198,80.753,0
F0001,2025-04-20,6.624,11.47,36.468,72.82,25.192,81.06,0
F0001,2025-04-21,6.205,11.47,42.68,72.82,25.188,81.413,1
F0001,2025-04-22,6.217,11.65,20.752,70.48,25.262,81.7,2
F0001,2025-04-23,6.179,11.65,16.004,72.11,24.984,82.633,0
F0001,2025-04-24,5.899,11.65,25.745,68.42,24.847,80.987,1
F0001,2025-04-25,5.923,11.65,24.047,61.1,24.865,81.26,2
F0001,2025-04-26,6.009,11.65,26.783,85.33,24.831,81.513,0
F0001,2025-04-27,5.823,11.65,29.81,111.51,24.633,81.807,0
F0001,2025-04-28,5.517,11.65,22.199,111.51,24.465,81.24,1
F0001,2025-04-29,5.437,11.65,17.403,129.21,24.562,81.193,0
F0001,2025-04-30,5.419,11.65,17.946,138.13,24.621,80.993,0
F0001,2025-05-01,5.303,11.65,23.994,137.53,24.687,81.013,1
