registro_id,lote_id,finca_id,fecha_registro,tecnico_id,vecino_fumigo_reciente,dias_desde_fumigacion_vecina,despulpadora_compartida,sacos_reutilizados,secado_patio_compartido,transporte_compartido,herramientas_compartidas_flag,lavado_equipo_flag,capacitacion_bpa_flag,lat_gps,lon_gps,origen_captura,practicas_riesgo_conteo,equipo_compartido_sin_lavar,fumigacion_declarada,fumigacion_desconocida
RC0000001,L000001,F0064,2025-05-07,TEC05,No,-1,0,0,0,0,0,1,0,-6.272793,-77.802178,formulario_campo,0,0,0,0
RC0000002,L000002,F0073,2026-04-01,TEC06,No,-1,0,0,0,0,0,1,1,-6.195026,-77.916715,formulario_campo,0,0,0,0
RC0000003,L000003,F0083,2025-08-17,TEC06,No,-1,0,1,0,0,1,1,1,-6.167629,-77.891944,dashboard_acopio,1,0,0,0
RC0000004,L000004,F0019,2025-12-01,TEC10,No,-1,1,0,1,0,1,0,0,-6.227419,-77.859642,cola_kafka,2,1,0,0
RC0000005,L000005,F0043,2026-07-11,TEC07,No_se_sabe,-1,0,0,1,0,1,1,1,-6.172238,-77.9452,formulario_campo,1,0,0,1
RC0000006,L000006,F0045,2025-07-19,TEC11,Si,5,0,0,0,1,1,1,0,-6.251,-77.828652,formulario_campo,1,0,1,0
RC0000007,L000007,F0043,2025-09-06,TEC07,No,-1,1,0,1,0,1,1,1,-6.171891,-77.945823,formulario_campo,2,0,0,0
RC0000008,L000008,F0034,2025-06-20,TEC11,Si,12,1,0,1,0,1,0,0,-6.210667,-77.883526,dashboard_acopio,2,1,1,0
RC0000009,L000009,F0062,2025-05-16,TEC02,No_se_sabe,-1,1,0,0,0,1,0,0,-6.196222,-77.845736,dashboard_acopio,1,1,0,1
RC0000010,L000010,F0089,2026-08-08,TEC07,Si,23,1,1,0,0,1,1,1,-6.213461,-77.849134,formulario_campo,2,0,1,0
RC0000011,L000011,F0026,2025-07-11,TEC10,No,-1,1,1,1,0,1,0,0,-6.23418,-77.772284,formulario_campo,3,1,0,0
RC0000012,L000012,F0098,2025-09-18,TEC10,No_se_sabe,-1,0,0,0,0,0,1,1,-6.212356,-77.898682,cola_kafka,0,0,0,1
RC0000013,L000013,F0083,2026-05-20,TEC06,No_se_sabe,-1,0,1,1,1,1,0,0,-6.167618,-77.891529,formulario_campo,3,0,0,1
RC0000014,L000014,F0002,2025-08-14,TEC04,Si,6,0,0,0,1,1,0,1,-6.218143,-77.932985,formulario_campo,1,0,1,0
RC0000015,L000015,F0108,2026-07-19,TEC03,No,-1,0,0,1,1,1,1,1,-6.216946,-77.819726,cola_kafka,2,0,0,0
RC0000016,L000016,F0096,2025-07-19,TEC10,No_se_sabe,-1,0,0,1,0,1,0,0,-6.146594,-77.810977,formulario_campo,1,0,0,1
RC0000017,L000017,F0085,2026-08-24,TEC08,No,-1,0,0,0,0,0,1,1,-6.274558,-77.853669,cola_kafka,0,0,0,0
RC0000018,L000018,F0120,2026-04-22,TEC12,No,-1,0,1,1,0,1,0,0,-6.220571,-77.874927,formulario_campo,2,0,0,0
