lote_id,excede_umbral_carbendazim,excede_umbral_cipermetrina,excede_umbral_clorpirifos,excede_umbral_glifosato,is_detectado_carbendazim,is_detectado_cipermetrina,is_detectado_clorpirifos,is_detectado_glifosato,ppm_detectado_carbendazim,ppm_detectado_clorpirifos,ppm_detectado_glifosato,n_kits_excedidos,n_kits_detectados,lote_contaminado
L000001,0,0,0,0,0,0,0,0,0.00226,0.0,0.0,0,0,0
L000002,0,0,0,0,0,0,0,1,0.0,0.0,0.01165,0,1,0
L000003,0,1,0,0,0,1,0,0,0.00679,0.00462,0.00185,1,1,1
L000004,0,0,0,0,1,0,1,1,0.02865,0.01655,0.01621,0,3,0
L000005,0,0,0,0,0,0,0,0,0.00221,0.00051,0.00477,0,0,0
L000006,0,0,1,0,0,0,1,1,0.00147,0.07281,0.09302,1,2,1
L000007,0,0,1,0,0,0,1,0,0.0,0.08009,0.00096,1,1,1
L000008,0,0,1,0,0,0,1,1,0.0,0.12989,0.01906,1,2,1
L000009,0,1,1,0,0,1,1,1,0.00867,0.05808,0.0541,2,3,1
L000010,0,0,0,0,0,0,0,0,0.00201,0.0,0.00328,0,0,0
L000011,0,0,0,0,1,0,0,1,0.08125,0.00277,0.02543,0,2,0
L000012,0,0,0,0,0,0,0,0,0.0,0.0,0.00293,0,0,0
L000013,0,0,0,0,0,0,0,1,0.0,0.00198,0.02254,0,1,0
L000014,0,0,0,0,0,0,1,0,0.0,0.01456,0.00096,0,1,0
L000015,0,0,0,0,1,0,0,0,0.01656,0.00286,0.00169,0,1,0
L000016,0,1,0,1,0,1,0,1,0.0,0.00202,0.1122,2,2,1
L000017,0,0,0,0,0,0,0,0,0.0,0.0,0.00164,0,0,0
L000018,0,0,0,0,0,0,1,0,0.00149,0.04421,0.0,0,1,0
L000019,0,0,1,1,1,0,1,1,0.02476,0.07303,0.15292,2,3,1
L000020,0,0,0,0,0,0,0,0,0.00573,0.00202,0.0,0,0,0
L000021,0,0,0,0,0,0,0,0,0.0,0.00171,0.0,0,0,0
L000022,0,0,0,0,0,0,0,0,0.00043,0.00066,0.00438,0,0,0
L000023,0,0,0,0,0,0,0,0,0.00099,0.00145,0.0022,0,0,0
L000024,0,1,0,0,1,1,1,1,0.08638,0.01987,0.011,1,4,1
L000025,0,0,0,0,0,0,0,0,0.0,0.00014,0.0,0,0,0
L000026,0,0,0,0,0,0,1,0,0.00494,0.00609,0.0,0,1,0
L000027,0,0,0,0,0,0,0,0,0.00446,0.0,0.0,0,0,0
L000028,0,0,0,0,0,0,0,1,0.0,0.00466,0.07663,0,1,0
L000029,0,0,0,0,0,0,0,1,0.0,0.0,0.01222,0,1,0
L000030,0,0,0,0,0,0,1,0,0.00179,0.02496,0.00542,0,1,0
L000031,0,0,0,0,0,0,1,1,0.0,0.00581,0.02369,0,2,0
L000032,0,0,0,0,0,0,0,0,0.0,0.00133,0.00264,0,0,0
L000033,0,0,0,0,0,0,1,1,0.00958,0.01787,0.03279,0,2,0
L000034,0,1,0,0,1,1,0,0,0.02917,0.0,0.00073,1,2,1
L000035,0,0,0,0,0,0,0,0,0.0,0.0,0.00124,0,0,0
L000036,0,0,0,0,0,0,0,0,0.0,0.00169,0.00421,0,0,0
