finca_id,es_convencional,certificacion,empresa_exportadora,lat,lon,altitud_m,pendiente_pct,area_ha,distancia_vecino_convencional_m,azimut_vecino_deg,tiene_barrera_viva,anios_certificacion,vecino_usa_glifosato,vecino_usa_clorpirifos,vecino_usa_cipermetrina,vecino_usa_carbendazim
F0001,False,Organico,Olam Peru,-6.236902,-77.780408,1464.4,24.33,1.38,752.0,120.7,True,11,True,False,False,True
F0002,False,Organico,Cenfrocafe,-6.218973,-77.931911,1286.2,14.81,1.39,237.1,97.6,False,7,False,True,True,False
F0003,False,Organico,Coop. Norandino,-6.214804,-77.820307,1555.2,7.78,1.5,119.5,60.8,True,8,False,False,False,True
F0004,False,Organico,Perhusa,-6.260923,-77.963818,1569.6,15.66,1.65,366.5,156.7,False,6,True,True,True,False
F0005,False,Organico,Olam Peru,-6.204859,-77.897473,1777.1,19.16,0.95,209.3,200.4,False,8,False,True,False,True
F0006,False,Organico,Olam Peru,-6.231793,-77.791051,1591.0,26.82,1.71,374.0,116.5,False,0,True,False,False,False
F0007,False,Organico,Perhusa,-6.196974,-77.904534,1995.6,17.56,1.97,134.8,56.1,False,1,True,False,True,False
F0008,False,Organico,Perhusa,-6.280189,-77.904138,1861.5,35.85,1.67,169.2,307.9,True,12,True,False,True,False
F0009,False,Organico,Coop. Norandino,-6.273624,-77.825537,1744.6,12.97,2.7,166.8,72.5,False,14,True,False,True,False
F0010,False,Organico,Cenfrocafe,-6.259311,-77.876018,1276.6,23.23,1.4,213.8,67.5,True,9,True,True,False,True
F0011,True,Convencional,Perhusa,-6.19193,-77.814649,1831.4,26.4,1.76,0.0,127.3,False,0,False,False,False,False
F0012,False,Organico,Perhusa,-6.228916,-77.898478,1576.9,55.3,0.76,137.0,323.9,True,4,True,False,False,False
F0013,False,Organico,Olam Peru,-6.149544,-77.808623,1265.2,11.01,2.15,455.5,61.1,False,1,True,True,False,True
F0014,False,Organico,Cenfrocafe,-6.252517,-77.799025,1587.4,6.98,2.99,306.3,3.7,False,0,True,False,True,False
F0015,True,Convencional,Perhusa,-6.251913,-77.839401,1696.0,8.38,0.91,0.0,38.4,False,0,True,True,False,False
F0016,False,Organico,Cenfrocafe,-6.243819,-77.875241,1240.5,32.81,2.81,292.8,203.3,False,9,True,False,False,False
F0017,False,Organico,Perhusa,-6.271691,-77.856356,1788.5,17.35,1.33,19.7,337.7,True,5,True,True,False,False
F0018,False,Organico,Coop. Norandino,-6.223521,-77.902249,1849.3,23.66,1.03,259.2,62.4,False,3,True,True,False,True
F0019,False,Organico,Cenfrocafe,-6.227856,-77.860276,1511.9,17.18,1.39,220.9,83.7,False,0,True,False,True,False
F0020,False,Organico,Perhusa,-6.203015,-77.891499,1469.5,32.97,1.53,452.1,221.2,False,8,False,True,False,False
F0021,False,Organico,Coop. Norandino,-6.289409,-77.862982,1480.2,5.24,2.37,225.3,49.9,False,11,True,True,True,False
F0022,False,Organico,Olam Peru,-6.253643,-77.857958,1579.2,18.33,4.12,452.9,281.1,False,11,True,True,False,True
F0023,False,Organico,Perhusa,-6.16102,-77.836957,1552.0,19.74,1.18,1017.0,151.9,False,12,False,True,False,False
F0024,False,Organico,Cenfrocafe,-6.335479,-77.802737,1560.2,47.82,1.87,125.8,266.4,False,4,False,False,False,True
F0025,False,Organico,Perhusa,-6.23198,-77.956049,1518.3,21.26,1.88,45.0,92.8,True,4,False,False,True,True
F0026,False,Organico,Perhusa,-6.234647,-77.77177,1177.6,20.73,1.91,525.4,241.4,False,4,True,False,False,False
F0027,False,Organico,Cenfrocafe,-6.278109,-77.792917,1112.3,5.48,1.18,121.1,76.1,True,4,True,True,False,False
F0028,False,Organico,Coop. Norandino,-6.23311,-77.852895,2123.3,7.99,3.06,98.8,136.7,False,10,False,False,False,False
F0029,False,Organico,Olam Peru,-6.194239,-77.84402,2035.7,13.42,3.04,180.8,129.2,False,0,True,True,False,False
F0030,False,Organico,Cenfrocafe,-6.208701,-77.903554,1617.0,31.41,2.24,119.5,61.6,False,0,True,False,True,False
F0031,False,Organico,Perhusa,-6.245783,-77.930433,1558.4,18.61,0.73,431.5,306.8,False,0,True,True,True,False
F0032,True,Convencional,Olam Peru,-6.261096,-77.924119,2036.8,19.08,2.16,0.0,18.2,False,0,False,False,False,True
F0033,False,Organico,Olam Peru,-6.206627,-77.89367,1657.3,34.99,4.08,191.7,65.9,False,9,True,False,False,True
F0034,False,Organico,Cenfrocafe,-6.210887,-77.884352,1457.0,5.64,3.39,217.3,317.1,False,6,True,False,False,False
F0035,True,Convencional,Olam Peru,-6.258054,-77.822609,1693.7,8.6,0.71,0.0,260.1,False,0,False,False,False,False
F0036,True,Convencional,Perhusa,-6.222683,-77.925461,1715.6,17.57,1.89,0.0,341.9,False,0,True,False,True,True
F0037,False,Organico,Coop. Norandino,-6.202488,-77.860607,1335.5,19.16,0.62,76.7,256.5,True,12,True,True,False,True
F0038,False,Organico,Cenfrocafe,-6.242459,-77.855441,1853.8,22.73,0.89,280.8,295.3,False,0,True,False,False,False
F0039,False,Organico,Perhusa,-6.220278,-77.782594,1459.2,7.89,2.53,172.0,292.0,False,13,False,False,False,False
F0040,False,Organico,Perhusa,-6.173754,-77.9086,1529.0,23.81,0.97,58.2,84.8,False,7,False,False,False,False
F0041,True,Convencional,Cenfrocafe,-6.182791,-77.885367,1808.1,23.01,2.58,0.0,198.6,False,0,True,True,False,False
F0042,False,Organico,Olam Peru,-6.207797,-77.965144,1571.8,20.47,2.06,716.0,306.0,True,12,True,True,False,False
F0043,False,Organico,Olam Peru,-6.172343,-77.94526,1539.0,21.97,3.46,128.6,335.5,False,13,True,True,False,False
F0044,False,Organico,Coop. Norandino,-6.316667,-77.890424,1544.7,10.12,3.39,416.6,200.1,False,6,True,False,True,False
F0045,False,Organico,Cenfrocafe,-6.250378,-77.829407,1994.3,26.1,2.66,99.7,331.2,False,14,True,True,False,False
F0046,False,Organico,Cenfrocafe,-6.280221,-77.881118,1719.3,24.58,0.79,310.4,250.3,False,14,False,False,False,False
F0047,False,Organico,Cenfrocafe,-6.189188,-77.797679,1685.2,7.57,1.28,73.5,21.5,True,7,True,False,False,False
F0048,True,Convencional,Cenfrocafe,-6.194666,-77.821844,1691.7,14.31,1.96,0.0,175.0,False,0,True,True,False,True
F0049,False,Organico,Olam Peru,-6.195158,-77.915286,1529.2,19.63,0.72,234.0,164.6,True,12,True,True,True,False
F0050,False,Organico,Olam Peru,-6.299602,-77.914674,1948.4,9.46,6.55,126.5,36.4,False,2,True,False,False,False
