finca_id,fecha,velocidad_viento_kmh,direccion_viento_deg,temperatura_c,humedad_relativa_pct,precipitacion_mm
F0001,2025-01-01,4.52,63.4,27.28,73.6,0.0
F0001,2025-01-02,7.68,320.5,26.88,75.0,0.0
F0001,2025-01-03,12.71,67.3,28.54,78.7,0.0
F0001,2025-01-04,9.33,314.3,25.95,71.0,0.0
F0001,2025-01-05,13.69,359.1,24.79,72.3,0.0
F0001,2025-01-06,14.19,344.4,26.76,66.9,0.0
F0001,2025-01-07,5.07,103.7,27.1,66.9,0.0
F0001,2025-01-08,13.13,300.4,27.68,66.0,0.0
F0001,2025-01-09,3.61,35.3,27.47,68.7,0.0
F0001,2025-01-10,7.11,1.4,26.69,74.1,0.36
F0001,2025-01-11,27.32,329.5,24.75,76.4,0.0
F0001,2025-01-12,8.69,347.0,26.51,79.6,26.94
F0001,2025-01-13,10.86,28.0,27.42,67.2,0.0
F0001,2025-01-14,8.16,51.1,26.28,79.4,0.0
F0001,2025-01-15,9.98,346.7,25.83,76.8,0.0
F0001,2025-01-16,16.64,21.3,26.76,62.1,0.0
F0001,2025-01-17,7.29,40.6,27.35,70.2,1.34
F0001,2025-01-18,12.24,274.2,25.97,63.2,0.0
F0001,2025-01-19,10.91,41.6,27.46,72.5,0.0
F0001,2025-01-20,9.11,336.8,30.64,76.7,0.0
F0001,2025-01-21,3.62,73.4,26.35,72.6,0.0
F0001,2025-01-22,7.23,59.9,28.9,65.3,0.0
F0001,2025-01-23,14.39,327.0,24.72,77.1,0.0
F0001,2025-01-24,10.13,57.2,25.5,73.5,13.05
F0001,2025-01-25,14.62,19.2,26.18,66.4,0.0
F0001,2025-01-26,12.92,15.6,29.79,74.6,0.0
F0001,2025-01-27,5.51,36.7,24.96,72.2,0.0
F0001,2025-01-28,18.46,80.3,25.27,65.4,0.0
F0001,2025-01-29,6.63,326.6,27.17,60.7,2.64
F0001,2025-01-30,7.88,40.7,28.5,65.7,0.0
F0001,2025-01-31,5.39,332.9,25.45,65.4,0.0
F0001,2025-02-01,14.04,34.8,25.65,75.3,0.0
F0001,2025-02-02,11.29,255.1,23.91,63.8,0.0
F0001,2025-02-03,7.07,46.1,27.55,70.6,0.0
F0001,2025-02-04,11.05,57.8,25.14,78.7,0.0
F0001,2025-02-05,13.13,315.2,31.37,61.1,0.0
F0001,2025-02-06,9.52,21.3,25.22,76.1,0.71
F0001,2025-02-07,5.37,70.4,26.44,64.0,0.0
F0001,2025-02-08,7.5,45.6,25.24,65.8,0.0
F0001,2025-02-09,19.89,353.0,26.7,72.1,0.0
