lote_id,finca_id,fecha_cosecha,peso_quintales,variedad,destino_previsto,dias_secado_patio
L000001,F0064,2025-05-07,71.1,Bourbon,Francia,4
L000002,F0073,2026-04-01,75.3,Typica,Paises_Bajos,16
L000003,F0083,2025-08-17,122.9,Typica,Belgica,16
L000004,F0019,2025-12-01,149.0,Catimor,Francia,16
L000005,F0043,2026-07-11,119.3,Geisha,Alemania,4
L000006,F0045,2025-07-19,281.1,Caturra,Estados_Unidos,20
L000007,F0043,2025-09-06,251.6,Catimor,Japon,17
L000008,F0034,2025-06-20,112.0,Caturra,Alemania,4
L000009,F0062,2025-05-16,166.1,Typica,Alemania,12
L000010,F0089,2026-08-08,136.6,Typica,Nacional,5
L000011,F0026,2025-07-11,96.0,Geisha,Paises_Bajos,13
L000012,F0098,2025-09-18,146.2,Typica,Estados_Unidos,7
L000013,F0083,2026-05-20,74.7,Bourbon,Alemania,17
L000014,F0002,2025-08-14,51.6,Caturra,Alemania,13
L000015,F0108,2026-07-19,53.0,Caturra,Alemania,6
L000016,F0096,2025-07-19,109.6,Typica,Alemania,13
L000017,F0085,2026-08-24,114.7,Caturra,Alemania,12
L000018,F0120,2026-04-22,152.0,Bourbon,Estados_Unidos,18
L000019,F0090,2026-05-28,294.5,Typica,Alemania,20
L000020,F0029,2025-05-25,80.3,Catimor,Belgica,10
L000021,F0051,2026-05-03,128.7,Caturra,Belgica,11
L000022,F0110,2026-04-07,146.2,Typica,Alemania,8
L000023,F0030,2026-05-08,221.9,Caturra,Estados_Unidos,16
L000024,F0066,2025-04-03,44.4,Typica,Estados_Unidos,15
L000025,F0093,2026-05-21,101.1,Catimor,Paises_Bajos,18
L000026,F0091,2026-05-02,93.9,Geisha,Paises_Bajos,5
L000027,F0050,2025-09-21,197.6,Catimor,Belgica,13
L000028,F0043,2026-04-02,201.9,Bourbon,Estados_Unidos,6
L000029,F0059,2026-04-20,58.4,Caturra,Alemania,20
L000030,F0082,2025-09-21,103.7,Catimor,Belgica,5
L000031,F0042,2025-08-24,173.9,Catimor,Estados_Unidos,20
L000032,F0075,2025-04-14,111.1,Caturra,Belgica,5
L000033,F0031,2025-08-01,163.7,Catimor,Belgica,16
L000034,F0024,2025-05-12,197.3,Bourbon,Alemania,17
L000035,F0101,2026-08-15,239.3,Caturra,Paises_Bajos,8
L000036,F0008,2025-05-07,105.4,Typica,Francia,10
L000037,F0111,2025-07-13,144.6,Caturra,Alemania,8
L000038,F0089,2025-05-09,239.9,Typica,Francia,13
L000039,F0064,2026-04-27,108.7,Caturra,Belgica,19
L000040,F0102,2026-05-31,87.4,Caturra,Francia,7
L000041,F0082,2026-07-03,157.4,Caturra,Japon,18
L000042,F0063,2025-04-20,102.8,Bourbon,Nacional,12
L000043,F0066,2025-02-28,88.4,Caturra,Estados_Unidos,6
L000044,F0093,2026-07-30,267.1,Catimor,Estados_Unidos,10
L000045,F0093,2026-08-05,97.0,Caturra,Francia,5
L000046,F0022,2026-06-18,130.3,Bourbon,Francia,14
L000047,F0040,2026-08-19,209.6,Caturra,Francia,6
L000048,F0112,2026-04-13,122.3,Bourbon,Alemania,15
L000049,F0080,2025-02-13,102.8,Bourbon,Alemania,12
L000050,F0004,2025-09-05,94.8,Caturra,Alemania,11
L000051,F0053,2026-08-07,66.9,Geisha,Alemania,9
L000052,F0019,2025-11-03,84.0,Bourbon,Alemania,17
L000053,F0046,2026-07-01,47.6,Caturra,Nacional,4
L000054,F0027,2025-08-29,236.1,Typica,Alemania,11
L000055,F0111,2026-04-03,187.9,Catimor,Paises_Bajos,9
L000056,F0013,2025-07-11,133.0,Catimor,Alemania,8
L000057,F0009,2025-06-24,146.1,Caturra,Nacional,8
L000058,F0098,2026-07-07,136.8,Caturra,Francia,14
L000059,F0072,2026-07-30,289.2,Bourbon,Francia,20
L000060,F0102,2025-04-13,115.0,Catimor,Francia,11
L000061,F0076,2025-01-27,147.1,Typica,Paises_Bajos,7
L000062,F0028,2025-04-09,94.7,Typica,Japon,12
L000063,F0003,2025-07-04,92.9,Typica,Francia,16
L000064,F0087,2026-05-24,111.3,Caturra,Nacional,6
L000065,F0020,2025-06-19,112.2,Bourbon,Nacional,15
L000066,F0084,2025-12-12,149.5,Caturra,Francia,5
L000067,F0017,2026-07-04,192.6,Caturra,Alemania,18
L000068,F0003,2025-09-08,143.0,Typica,Francia,12
L000069,F0007,2025-07-26,83.9,Caturra,Alemania,8
L000070,F0006,2025-01-19,121.0,Caturra,Francia,4
L000071,F0050,2025-06-28,106.8,Catimor,Estados_Unidos,15
L000072,F0051,2026-08-24,154.0,Bourbon,Nacional,11
L000073,F0073,2025-07-16,121.1,Typica,Paises_Bajos,15
L000074,F0034,2026-04-10,129.5,Typica,Belgica,19
L000075,F0118,2025-08-01,51.3,Caturra,Belgica,19
L000076,F0096,2026-04-13,63.2,Geisha,Alemania,19
L000077,F0050,2026-07-17,203.0,Caturra,Paises_Bajos,17
L000078,F0004,2025-04-07,105.6,Typica,Francia,12
L000079,F0056,2025-04-17,113.4,Bourbon,Nacional,8
L000080,F0039,2026-03-11,58.4,Typica,Francia,16
L000081,F0069,2025-06-07,70.5,Catimor,Francia,15
L000082,F0096,2026-04-03,283.5,Caturra,Belgica,13
L000083,F0001,2026-07-26,197.1,Bourbon,Francia,12
L000084,F0075,2025-05-31,183.3,Bourbon,Estados_Unidos,11
L000085,F0017,2026-05-28,211.3,Geisha,Alemania,7
L000086,F0042,2025-03-04,120.2,Typica,Estados_Unidos,8
L000087,F0068,2025-08-13,66.5,Bourbon,Paises_Bajos,8
L000088,F0024,2026-08-25,79.1,Bourbon,Belgica,10
L000089,F0002,2026-05-31,27.2,Geisha,Alemania,4
