muestra_id,lote_id,finca_id,agroquimico,kit,tipo_lectura,ppm_detectado,lod_ppm,umbral_ppm,is_detectado,excede_umbral,fecha_muestreo,laboratorio,operador,ppm_simulado_interno
M0000001,L000001,F0064,Glifosato,ELISA_GLY_96,Cuantitativo,0.0,0.01,0.1,False,False,2025-05-07,LAB Acopio Sur,TEC12,0.0
M0000002,L000002,F0073,Glifosato,ELISA_GLY_96,Cuantitativo,0.01165,0.01,0.1,True,False,2026-04-01,LAB Acopio Sur,TEC11,0.01165
M0000003,L000003,F0083,Glifosato,ELISA_GLY_96,Cuantitativo,0.00185,0.01,0.1,False,False,2025-08-17,LAB Movil Campana,TEC10,0.00185
M0000004,L000004,F0019,Glifosato,ELISA_GLY_96,Cuantitativo,0.01621,0.01,0.1,True,False,2025-12-01,LAB Movil Campana,TEC08,0.01621
M0000005,L000005,F0043,Glifosato,ELISA_GLY_96,Cuantitativo,0.00477,0.01,0.1,False,False,2026-07-11,LAB Movil Campana,TEC01,0.00477
M0000006,L000006,F0045,Glifosato,ELISA_GLY_96,Cuantitativo,0.09302,0.01,0.1,True,False,2025-07-19,LAB Movil Campana,TEC06,0.09302
M0000007,L000007,F0043,Glifosato,ELISA_GLY_96,Cuantitativo,0.00096,0.01,0.1,False,False,2025-09-06,LAB Movil Campana,TEC01,0.00096
M0000008,L000008,F0034,Glifosato,ELISA_GLY_96,Cuantitativo,0.01906,0.01,0.1,True,False,2025-06-20,LAB Acopio Norte,TEC07,0.01906
M0000009,L000009,F0062,Glifosato,ELISA_GLY_96,Cuantitativo,0.0541,0.01,0.1,True,False,2025-05-16,LAB Acopio Sur,TEC04,0.0541
M0000010,L000010,F0089,Glifosato,ELISA_GLY_96,Cuantitativo,0.00328,0.01,0.1,False,False,2026-08-08,LAB Movil Campana,TEC02,0.00328
M0000011,L000011,F0026,Glifosato,ELISA_GLY_96,Cuantitativo,0.02543,0.01,0.1,True,False,2025-07-11,LAB Acopio Norte,TEC05,0.02543
