decil,lotes,contaminados,tasa_observada,prob_media,lift,captura_acumulada,volumen_acumulado
1,64,50,0.78125,0.8973876744340492,3.226461038961039,0.3246753246753247,0.10062893081761007
2,63,31,0.49206349206349204,0.5763314334742905,2.0321583178726033,0.525974025974026,0.19968553459119498
3,64,23,0.359375,0.40128051704890955,1.484172077922078,0.6753246753246753,0.300314465408805
4,63,12,0.19047619047619047,0.1875,0.7866419294990723,0.7532467532467533,0.39937106918238996
5,64,15,0.234375,0.1787109375,0.9679383116883117,0.8506493506493507,0.5
6,63,9,0.14285714285714285,0.1256031892535937,0.5899814471243042,0.9090909090909091,0.5990566037735849
7,64,6,0.09375,0.05188836898395722,0.3871753246753247,0.948051948051948,0.699685534591195
8,63,4,0.06349206349206349,0.034759358288770054,0.26221397649969075,0.974025974025974,0.7987421383647799
9,64,3,0.046875,0.034759358288770054,0.19358766233766234,0.9935064935064936,0.89937106918239
10,64,1,0.015625,0.034759358288770054,0.06452922077922078,1.0,1.0
