,shap_medio_absoluto
equipo_compartido_sin_lavar,0.297499202569869
cos_viento_lindero,0.2450920182681449
indice_exposicion,0.23107547701959816
sacos_reutilizados,0.1926772196150564
secado_patio_compartido,0.07553006148615583
practicas_riesgo_conteo,0.0352001172333879
lavado_equipo_flag,0.03290836368586578
herramientas_compartidas_flag,0.0313764434662575
altitud_m,0.022111677594983618
distancia_vecino_convencional_m,0.016163618658728725
capacitacion_bpa_flag,0.014436559516584225
pendiente_pct,0.013673723471549475
direccion_media_deg,0.012826879566378058
despulpadora_compartida,0.011856980553827038
tiene_barrera_viva,0.011343538625989398
temperatura_media_c,0.00787532308889822
humedad_media_pct,0.006847147403048617
log_distancia_lindero,0.006298627478551415
peso_quintales,0.005154657708853041
azimut_vecino_deg,0.005075055397845429
dias_secado_patio,0.003497040136889714
precipitacion_acum_mm,0.002956012883759154
area_ha,0.00266974785762508
viento_medio_kmh,0.0024712749460135976
empresa_exportadora_enc,0.00225886177953862
anios_certificacion,0.0018205143077717216
destino_previsto_enc,0.001431252865816083
tecnico_id_enc,0.0009927717220307756
mes_cosecha,0.0008384704281830289
variedad_enc,0.0005581385571081322
viento_max_kmh,0.0005318004686016453
dias_desde_fumigacion_vecina,0.0
fumigacion_desconocida,0.0
transporte_compartido,0.0
fumigacion_declarada,0.0
dias_sin_lluvia,0.0
lluvia_por_dia_seco,0.0
vecino_fumigo_reciente_enc,0.0
