,valor_informacion
indice_exposicion,0.6916028441514257
cos_viento_lindero,0.6423497898292274
equipo_compartido_sin_lavar,0.39222611594620393
practicas_riesgo_conteo,0.24781321687168972
lavado_equipo_flag,0.16320579362948048
capacitacion_bpa_flag,0.14994242330409435
herramientas_compartidas_flag,0.13461178583348307
sacos_reutilizados,0.12623185743957346
altitud_m,0.106602862335867
direccion_media_deg,0.08311894733412496
distancia_vecino_convencional_m,0.08021568924188496
pendiente_pct,0.07000135021269319
secado_patio_compartido,0.05926117180985159
