lote_id,finca_id,empresa_exportadora,peso_quintales,destino_previsto,p_contaminado,decil_riesgo,alerta_modelo,en_cuarentena,decision,motivo,valor_asignado_usd,lote_contaminado
L001687,F0047,Cenfrocafe,124.8,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,19968.0,1
L000719,F0047,Cenfrocafe,106.5,Alemania,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,17040.0,1
L002039,F0047,Cenfrocafe,98.5,Paises_Bajos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,15760.0,1
L002710,F0067,Olam Peru,72.0,Belgica,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,11520.0,1
L003037,F0067,Olam Peru,232.2,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,37152.0,1
L003359,F0045,Cenfrocafe,113.2,Paises_Bajos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,18112.0,1
L000923,F0009,Coop. Norandino,68.7,Belgica,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,10992.0,1
L000471,F0105,Perhusa,197.5,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,31600.0,1
L001891,F0103,Coop. Norandino,158.8,Paises_Bajos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,25408.0,1
L002295,F0103,Coop. Norandino,184.8,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,29568.0,1
L002308,F0009,Coop. Norandino,173.0,Francia,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,27680.0,1
L003433,F0009,Coop. Norandino,171.9,Estados_Unidos,1.0,1,1,1,SEGREGAR_CONVENCIONAL,cuarentena espacial: finca foco o colindante a un foco,27504.0,1
